,epoch,n_steps,avg_reward,avg_score,n_episodes,avg_q_value
0,1,5000,8.5,630.0,2,0.10821414794921876
1,2,10000,8.0,630.0,2,0.15421448974609375
2,3,15000,0.0,110.0,2,0.239589208984375
3,4,20000,1.4,226.0,5,0.280787158203125
4,5,25000,7.5,580.0,2,0.298875244140625
5,6,30000,8.0,555.0,2,0.3308190673828125
6,7,35000,7.0,530.0,1,0.3750033935546875
7,8,40000,1.4,232.0,5,0.418714208984375
8,9,45000,8.0,580.0,2,0.44395390625
9,10,50000,9.0,680.0,2,0.484718505859375
10,11,55000,1.75,202.5,4,0.510538330078125
11,12,60000,6.0,495.0,2,0.562035205078125
12,13,65000,4.0,312.5,4,0.597019140625
13,14,70000,8.0,630.0,2,0.622804833984375
14,15,75000,7.0,530.0,2,0.66059267578125
15,16,80000,7.5,595.0,2,0.72188310546875
16,17,85000,3.3333333333333335,300.0,3,0.770585107421875
17,18,90000,0.5,150.0,2,0.80892294921875
18,19,95000,2.0,227.5,4,0.84205625
19,20,100000,9.0,655.0,2,0.8893998046875
20,21,105000,7.0,555.0,2,0.9228611328125
21,22,110000,6.5,455.0,2,0.94830078125
22,23,115000,0.5,150.0,2,0.9670169921875
23,24,120000,3.0,297.5,4,0.9960697265625
24,25,125000,2.6,280.0,5,1.0445978515625
25,26,130000,4.0,310.0,1,1.0760095703125
26,27,135000,0.5,135.0,2,1.10846328125
27,28,140000,2.0,195.0,4,1.1552470703125
28,29,145000,3.5,300.0,4,1.1634255859375
29,30,150000,4.333333333333333,383.3333333333333,3,1.18280830078125
30,31,155000,9.0,655.0,2,1.21877099609375
31,32,160000,7.0,555.0,2,1.24317724609375
32,33,165000,1.0,192.5,4,1.2709953125
33,34,170000,6.5,455.0,2,1.30371796875
34,35,175000,4.0,370.0,2,1.337047265625
35,36,180000,3.0,270.0,4,1.37026865234375
36,37,185000,2.75,270.0,4,1.39600712890625
37,38,190000,3.0,335.0,2,1.42043173828125
38,39,195000,3.5,327.5,4,1.45693369140625
39,40,200000,0.5,127.5,4,1.48527021484375
40,41,205000,6.0,455.0,2,1.49695888671875
41,42,210000,0.8,178.0,5,1.5424865234375
42,43,215000,7.5,570.0,2,1.57853515625
43,44,220000,0.0,110.0,2,1.5887935546875
44,45,225000,2.0,260.0,1,1.60460810546875
45,46,230000,1.0,175.0,2,1.6162099609375
46,47,235000,3.6666666666666665,323.3333333333333,3,1.63831669921875
47,48,240000,7.333333333333333,563.3333333333334,3,1.6504431640625
48,49,245000,4.333333333333333,346.6666666666667,3,1.6552921875
49,50,250000,4.666666666666667,346.6666666666667,3,1.6611474609375
50,51,255000,4.5,345.0,2,1.6898376953125
51,52,260000,3.5,255.0,2,1.6977935546875
52,53,265000,1.2,206.0,5,1.7135064453125
53,54,270000,2.4,292.0,5,1.714001953125
54,55,275000,0.0,150.0,2,1.748613671875
55,56,280000,1.4,206.0,5,1.7708966796875
56,57,285000,1.0,210.0,1,1.7874658203125
57,58,290000,4.0,305.0,2,1.7959126953125
58,59,295000,6.5,480.0,2,1.7994099609375
59,60,300000,8.5,655.0,2,1.8105705078125
60,61,305000,9.5,730.0,2,1.85018125
61,62,310000,6.0,470.0,2,1.8984443359375
62,63,315000,8.5,630.0,2,1.90083515625
63,64,320000,5.5,445.0,2,1.9248419921875
64,65,325000,3.25,307.5,4,1.92091171875
65,66,330000,5.666666666666667,473.3333333333333,3,1.9651771484375
66,67,335000,6.666666666666667,533.3333333333334,3,1.9967625
67,68,340000,8.0,645.0,2,2.00920546875
68,69,345000,7.0,545.0,2,2.01915703125
69,70,350000,0.0,110.0,2,2.008815625
70,71,355000,3.75,325.0,4,2.039447265625
71,72,360000,1.25,212.5,4,2.0338943359375
72,73,365000,6.5,545.0,2,2.0394541015625
73,74,370000,0.0,110.0,2,2.0761759765625
74,75,375000,6.5,495.0,2,2.0703083984375
75,76,380000,0.0,95.0,2,2.06995234375
76,77,385000,7.5,555.0,2,2.0918154296875
77,78,390000,9.5,770.0,2,2.1038861328125
78,79,395000,5.0,420.0,2,2.1087087890625
79,80,400000,4.5,355.0,2,2.1054099609375
80,81,405000,2.4,266.0,5,2.125389453125
81,82,410000,0.0,120.0,3,2.13808984375
82,83,415000,4.333333333333333,330.0,3,2.1413265625
83,84,420000,5.5,445.0,2,2.150054296875
84,85,425000,6.0,466.6666666666667,3,2.1504328125
85,86,430000,4.5,410.0,2,2.1526583984375
86,87,435000,3.5,270.0,2,2.160263671875
87,88,440000,0.5,120.0,2,2.16862109375
88,89,445000,0.5,135.0,2,2.18352578125
89,90,450000,8.0,580.0,2,2.2090201171875
90,91,455000,8.0,630.0,2,2.1914291015625
91,92,460000,4.666666666666667,406.6666666666667,3,2.19991953125
92,93,465000,5.0,363.3333333333333,3,2.1963982421875
93,94,470000,0.0,110.0,2,2.20448515625
94,95,475000,9.0,680.0,2,2.1905185546875
95,96,480000,1.75,222.5,4,2.1908115234375
96,97,485000,12.0,980.0,1,2.1900857421875
97,98,490000,2.3333333333333335,286.6666666666667,3,2.2015453125
98,99,495000,13.0,1030.0,1,2.2315375
99,100,500000,6.0,473.3333333333333,3,2.2422041015625
100,101,505000,0.0,125.0,2,2.2503095703125
101,102,510000,3.3333333333333335,316.6666666666667,3,2.2481580078125
102,103,515000,4.0,320.0,2,2.2643197265625
103,104,520000,5.333333333333333,456.6666666666667,3,2.2793828125
104,105,525000,9.5,680.0,2,2.268841796875
105,106,530000,5.333333333333333,430.0,3,2.2607771484375
106,107,535000,6.5,505.0,2,2.2714986328125
107,108,540000,12.0,880.0,1,2.2712337890625
108,109,545000,4.0,410.0,2,2.273175390625
109,110,550000,2.25,280.0,4,2.277621875
110,111,555000,5.0,423.3333333333333,3,2.2714345703125
111,112,560000,10.0,730.0,2,2.2792267578125
112,113,565000,3.4,308.0,5,2.2871234375
113,114,570000,5.5,405.0,2,2.2971587890625
114,115,575000,5.333333333333333,396.6666666666667,3,2.3054041015625
115,116,580000,5.0,363.3333333333333,3,2.3060216796875
116,117,585000,0.0,110.0,2,2.295925
117,118,590000,7.5,555.0,2,2.287837109375
118,119,595000,4.0,305.0,2,2.2978673828125
119,120,600000,5.333333333333333,456.6666666666667,3,2.314536328125
120,121,605000,4.5,325.0,4,2.3177236328125
121,122,610000,0.0,110.0,1,2.3040177734375
122,123,615000,2.0,222.5,4,2.3027515625
123,124,620000,6.5,505.0,2,2.30594140625
124,125,625000,0.0,110.0,2,2.3020623046875
125,126,630000,2.75,310.0,4,2.303459765625
126,127,635000,6.0,473.3333333333333,3,2.316395703125
127,128,640000,7.5,580.0,2,2.3347181640625
128,129,645000,7.5,645.0,2,2.336925
129,130,650000,3.5,310.0,2,2.3438345703125
130,131,655000,6.0,455.0,2,2.35557265625
131,132,660000,8.0,580.0,2,2.3908912109375
132,133,665000,6.0,480.0,1,2.3685166015625
133,134,670000,5.0,433.3333333333333,3,2.3679083984375
134,135,675000,5.0,380.0,2,2.34865078125
135,136,680000,3.5,312.5,4,2.347342578125
136,137,685000,3.6666666666666665,323.3333333333333,3,2.3651884765625
137,138,690000,2.6666666666666665,250.0,3,2.371096484375
138,139,695000,8.0,605.0,2,2.3815845703125
139,140,700000,1.75,222.5,4,2.392909765625
140,141,705000,4.0,355.0,2,2.3890095703125
141,142,710000,3.0,282.5,4,2.39359609375
142,143,715000,4.0,356.6666666666667,3,2.3987017578125
143,144,720000,9.5,730.0,2,2.39521171875
144,145,725000,1.5,210.0,4,2.39350546875
145,146,730000,3.5,335.0,2,2.38349921875
146,147,735000,6.0,456.6666666666667,3,2.380880859375
147,148,740000,3.5,295.0,2,2.394459375
148,149,745000,4.333333333333333,383.3333333333333,3,2.391619921875
149,150,750000,0.0,130.0,3,2.4011251953125
150,151,755000,2.6666666666666665,266.6666666666667,3,2.413122265625
151,152,760000,7.0,570.0,2,2.4264607421875
152,153,765000,3.5,295.0,2,2.4303732421875
153,154,770000,0.0,110.0,2,2.4485173828125
154,155,775000,3.0,262.5,4,2.4453119140625
155,156,780000,5.5,460.0,2,2.454189453125
156,157,785000,0.3333333333333333,146.66666666666666,3,2.449240625
157,158,790000,4.0,395.0,2,2.4424177734375
158,159,795000,2.4,254.0,5,2.4528197265625
159,160,800000,8.0,630.0,2,2.4514927734375
160,161,805000,4.666666666666667,376.6666666666667,3,2.4755841796875
161,162,810000,3.25,322.5,4,2.503019921875
