,epoch,n_steps,avg_reward,avg_score,n_episodes,avg_q_value
0,1,5000,-4.5,0.5,4,0.06223828586861491
1,2,10000,-2.0,3.0,3,0.06177681192979217
2,3,15000,-1.3333333333333333,3.6666666666666665,3,0.06177681192979217
3,4,20000,-4.0,1.0,4,0.06034640576504171
4,5,25000,-3.0,2.0,3,0.06034640576504171
5,6,30000,-4.375,0.625,8,0.06293785699987783
6,7,35000,-4.625,0.375,8,0.06293785699987783
7,8,40000,-2.6666666666666665,2.3333333333333335,3,0.06006699988991022
8,9,45000,-3.6,1.4,5,0.06006699988991022
9,10,50000,-3.3333333333333335,1.6666666666666667,6,0.06471524772529956
10,11,55000,-2.0,3.0,5,0.06471524772529956
11,12,60000,-2.8333333333333335,2.1666666666666665,6,0.0643171512905159
12,13,65000,-3.4285714285714284,1.5714285714285714,7,0.0643171512905159
13,14,70000,-4.5,0.5,8,0.06433210908616893
14,15,75000,-3.7142857142857144,1.2857142857142858,7,0.06433210908616893
15,16,80000,-4.375,0.625,8,0.06580065658334643
16,17,85000,-3.8333333333333335,1.1666666666666667,6,0.06580065658334643
17,18,90000,-3.857142857142857,1.1428571428571428,7,0.06311555172335356
18,19,95000,-3.5714285714285716,1.4285714285714286,7,0.06311555172335356
19,20,100000,-3.7142857142857144,1.2857142857142858,7,0.08023837397806347
20,21,105000,-3.857142857142857,1.1428571428571428,7,0.08023837397806347
21,22,110000,-2.8,2.2,5,0.08602577675785869
22,23,115000,-3.4,1.6,5,0.08602577675785869
23,24,120000,-3.0,2.0,6,0.08946629785336555
24,25,125000,-2.8333333333333335,2.1666666666666665,6,0.08946629785336555
25,26,130000,-2.0,3.0,4,0.08462941876892001
26,27,135000,-2.0,3.0,4,0.08462941876892001
27,28,140000,-4.375,0.625,8,0.09650487686693668
28,29,145000,-3.0,2.0,6,0.09650487686693668
29,30,150000,-4.666666666666667,0.3333333333333333,9,0.1078198595289141
30,31,155000,-4.0,1.0,7,0.1078198595289141
31,32,160000,-3.6666666666666665,1.3333333333333333,6,0.1189393541328609
32,33,165000,-4.0,1.0,7,0.1189393541328609
33,34,170000,-3.1666666666666665,1.8333333333333333,6,0.1298299505677074
34,35,175000,-3.1666666666666665,1.8333333333333333,6,0.1298299505677074
35,36,180000,-3.5,1.5,6,0.13920866513624788
36,37,185000,-4.25,0.75,8,0.13920866513624788
37,38,190000,-4.142857142857143,0.8571428571428571,7,0.14252352605462074
38,39,195000,-4.0,1.0,7,0.14252352605462074
39,40,200000,-3.5714285714285716,1.4285714285714286,7,0.1501308890827
40,41,205000,-3.3333333333333335,2.1666666666666665,6,0.1501308890827
41,42,210000,-3.2,1.8,5,0.17348548591136934
42,43,215000,-3.2,1.8,5,0.17348548591136934
43,44,220000,-4.375,0.625,8,0.18134476735778152
44,45,225000,-4.25,0.75,8,0.18134476735778152
45,46,230000,-5.0,0.0,8,0.18337839357554914
46,47,235000,-4.875,0.125,8,0.18337839357554914
47,48,240000,-2.2,2.8,5,0.17992333478964864
48,49,245000,-2.8,2.2,5,0.17992333478964864
49,50,250000,-4.142857142857143,0.8571428571428571,7,0.18210906859077514
50,51,255000,-3.1666666666666665,1.8333333333333333,6,0.18210906859077514
51,52,260000,-4.0,1.0,7,0.20046732598431408
52,53,265000,-4.5,0.5,8,0.20046732598431408
53,54,270000,-2.8333333333333335,2.1666666666666665,6,0.21250859291963278
54,55,275000,-3.0,2.0,6,0.21250859291963278
55,56,280000,-3.1666666666666665,1.8333333333333333,6,0.23117203296422958
56,57,285000,-2.2,2.8,5,0.23117203296422958
57,58,290000,-3.1666666666666665,1.8333333333333333,6,0.2417947911731899
58,59,295000,-3.8333333333333335,1.1666666666666667,6,0.2417947911731899
59,60,300000,-4.0,1.0,6,0.256413157055527
60,61,305000,-3.857142857142857,1.1428571428571428,7,0.256413157055527
61,62,310000,-4.0,1.0,7,0.2704159879334271
62,63,315000,-3.7142857142857144,1.2857142857142858,7,0.2704159879334271
63,64,320000,-3.8333333333333335,1.1666666666666667,6,0.28357759120613335
64,65,325000,-4.285714285714286,0.7142857142857143,7,0.28357759120613335
65,66,330000,-4.5,0.5,8,0.2878420399095863
66,67,335000,-4.375,0.625,8,0.2878420399095863
67,68,340000,-1.5,4.25,4,0.29209183022007346
68,69,345000,-2.6,2.4,5,0.29209183022007346
69,70,350000,-2.4,2.6,5,0.3014029240716249
70,71,355000,-3.0,2.0,5,0.3014029240716249
71,72,360000,-4.625,0.375,8,0.2992206570997834
72,73,365000,-3.5714285714285716,1.4285714285714286,7,0.2992206570997834
73,74,370000,-3.4,1.6,5,0.30192925844043494
74,75,375000,-3.0,2.0,5,0.30192925844043494
75,76,380000,-3.6666666666666665,1.3333333333333333,6,0.3226520993895829
76,77,385000,-3.1666666666666665,1.8333333333333333,6,0.3226520993895829
77,78,390000,-4.777777777777778,0.2222222222222222,9,0.3400256441347301
78,79,395000,-4.0,1.0,7,0.3400256441347301
79,80,400000,-3.8333333333333335,1.1666666666666667,6,0.3492188816804439
80,81,405000,-4.0,1.0,6,0.3492188816804439
81,82,410000,-3.7142857142857144,1.2857142857142858,7,0.3619590437315404
82,83,415000,-4.125,0.875,8,0.3619590437315404
83,84,420000,-3.0,2.0,5,0.36551604709606617
84,85,425000,-2.6,2.4,5,0.36551604709606617
85,86,430000,-3.8,1.2,5,0.37413743782564995
86,87,435000,-3.857142857142857,1.1428571428571428,7,0.37413743782564995
87,88,440000,-3.8333333333333335,1.1666666666666667,6,0.37903400474395604
88,89,445000,-3.6,1.4,5,0.37903400474395604
89,90,450000,-4.4,0.6,5,0.37467833451814947
90,91,455000,-4.4,0.6,5,0.37467833451814947
91,92,460000,-3.8333333333333335,1.1666666666666667,6,0.3623338724431582
92,93,465000,-3.6666666666666665,1.3333333333333333,6,0.3623338724431582
93,94,470000,-3.0,2.0,5,0.3380044440943748
94,95,475000,-2.4,2.6,5,0.3380044440943748
95,96,480000,-3.2,1.8,5,0.35149985507940873
96,97,485000,-4.333333333333333,0.6666666666666666,6,0.35149985507940873
97,98,490000,-4.375,0.625,8,0.37259398398250343
98,99,495000,-3.3333333333333335,1.6666666666666667,6,0.37259398398250343
99,100,500000,-3.6,1.4,5,0.37586763264965267
100,101,505000,-4.428571428571429,0.5714285714285714,7,0.37586763264965267
101,102,510000,-3.857142857142857,1.1428571428571428,7,0.36580222178348343
102,103,515000,-3.3333333333333335,1.6666666666666667,6,0.36580222178348343
103,104,520000,-2.8,2.2,5,0.38250405403058974
104,105,525000,-3.0,2.0,5,0.38250405403058974
105,106,530000,-3.8333333333333335,1.1666666666666667,6,0.4083561754672788
106,107,535000,-1.25,3.75,4,0.4083561754672788
107,108,540000,-2.6666666666666665,2.3333333333333335,6,0.42029488986800423
108,109,545000,-3.0,2.0,6,0.42029488986800423
109,110,550000,-3.25,1.75,4,0.4164235294583719
110,111,555000,-3.6666666666666665,1.3333333333333333,6,0.4164235294583719
111,112,560000,-2.25,2.75,4,0.4352213893651962
112,113,565000,-3.0,2.0,4,0.4352213893651962
113,114,570000,-2.6,2.4,5,0.45560580251384525
114,115,575000,-3.0,2.0,5,0.45560580251384525
