,epoch,n_steps,avg_reward,avg_score,n_episodes,avg_q_value
0,1,5000,0.02702702702702703,0.02702702702702703,37,0.028137197497859597
1,2,10000,3.5,8.0,2,0.03474052122458816
2,3,15000,2.6666666666666665,4.666666666666667,3,0.03474052122458816
3,4,20000,3.0,6.0,3,0.04194902648478747
4,5,25000,3.5,8.0,2,0.04194902648478747
5,6,30000,0.19444444444444445,0.19444444444444445,36,0.047226518385112284
6,7,35000,0.2857142857142857,0.2857142857142857,35,0.047226518385112284
7,8,40000,2.0,2.0,2,0.05188069392517209
8,9,45000,2.5,4.0,2,0.05188069392517209
9,10,50000,2.5,2.5,2,0.05571580340564251
10,11,55000,1.6666666666666667,1.6666666666666667,3,0.05571580340564251
11,12,60000,3.5,8.0,2,0.061271719166636464
12,13,65000,3.3333333333333335,7.333333333333333,3,0.061271719166636464
13,14,70000,1.0,1.0,2,0.06579203189611435
14,15,75000,1.5,1.5,2,0.06579203189611435
15,16,80000,0.0,0.0,2,0.06967732821255922
16,17,85000,1.0,1.0,3,0.06967732821255922
17,18,90000,0.5,0.5,2,0.07502093097865581
18,19,95000,1.0,1.0,1,0.07502093097865581
19,20,100000,1.5,1.5,2,0.07945426771342755
20,21,105000,2.0,3.5,2,0.07945426771342755
21,22,110000,3.0,6.0,2,0.08469761620014905
22,23,115000,2.5,4.0,2,0.08469761620014905
23,24,120000,2.0,2.0,1,0.08789985392093659
24,25,125000,1.0,1.0,1,0.08789985392093659
25,26,130000,1.0,1.0,2,0.09136696000993252
26,27,135000,0.0,0.0,1,0.09136696000993252
27,28,140000,1.0,1.0,4,0.09568531089276075
28,29,145000,1.0,1.0,5,0.09568531089276075
29,30,150000,0.5,0.5,2,0.09910450426489115
30,31,155000,1.0,1.0,1,0.09910450426489115
31,32,160000,1.0625,1.0625,32,0.10225716831982136
32,33,165000,0.8333333333333334,0.8333333333333334,30,0.10225716831982136
33,34,170000,0.5,0.5,2,0.10605730188786984
34,35,175000,0.5,0.5,2,0.10605730188786984
35,36,180000,0.4411764705882353,0.4411764705882353,34,0.10947408494651317
36,37,185000,0.45714285714285713,0.45714285714285713,35,0.10947408494651317
37,38,190000,0.02702702702702703,0.02702702702702703,37,0.11429411804229021
38,39,195000,0.05555555555555555,0.05555555555555555,36,0.11429411804229021
39,40,200000,0.08823529411764706,0.08823529411764706,34,0.1177360453531146
40,41,205000,0.1111111111111111,0.1111111111111111,36,0.1177360453531146
41,42,210000,0.3333333333333333,0.3333333333333333,3,0.12218183682858944
42,43,215000,0.0,0.0,2,0.12218183682858944
43,44,220000,0.5,0.5,2,0.12580493467152118
44,45,225000,1.0,1.0,1,0.12580493467152118
45,46,230000,1.5,1.5,2,0.13047731772065163
46,47,235000,2.0,2.0,2,0.13047731772065163
47,48,240000,3.0,3.0,1,0.13500008659362792
48,49,245000,1.0,1.0,2,0.13500008659362792
49,50,250000,1.0,1.0,2,0.13777935420572757
50,51,255000,0.5,0.5,2,0.13777935420572757
51,52,260000,0.0,0.0,2,0.14423036227226257
52,53,265000,0.0,0.0,1,0.14423036227226257
53,54,270000,1.5,1.5,2,0.1480675856769085
54,55,275000,3.0,6.0,1,0.1480675856769085
55,56,280000,0.0,0.0,1,0.15183316310048103
