,q_values
0,12.691875457763672
1,12.639225959777832
2,13.649942398071289
3,15.908655166625977
4,17.422582626342773
5,14.87867546081543
6,22.012916564941406
7,14.886397361755371
8,10.416746139526367
9,12.287924766540527
10,11.976020812988281
11,14.226168632507324
12,14.419790267944336
13,15.203177452087402
14,12.177690505981445
15,13.727190971374512
16,15.196918487548828
17,12.277364730834961
18,12.828917503356934
19,15.14638614654541
20,17.733179092407227
21,16.763917922973633
22,15.688645362854004
23,12.899393081665039
24,13.330560684204102
25,15.974920272827148
26,12.413817405700684
27,14.838170051574707
28,11.836851119995117
29,12.23337173461914
30,9.874144554138184
31,14.5435152053833
32,15.818970680236816
33,15.541492462158203
34,13.173130989074707
35,12.903901100158691
36,15.32709789276123
37,11.485113143920898
38,13.346652030944824
39,15.871438980102539
40,16.013324737548828
41,16.121265411376953
42,11.85803508758545
43,12.553616523742676
44,12.470080375671387
45,10.606741905212402
46,13.940229415893555
47,16.303417205810547
48,16.228633880615234
49,14.624478340148926
50,10.679015159606934
51,16.377912521362305
52,11.470057487487793
53,18.709558486938477
54,12.09751033782959
55,9.796852111816406
56,13.75888729095459
57,16.894527435302734
58,11.947643280029297
59,10.145980834960938
60,10.66628646850586
61,15.456541061401367
62,10.762166976928711
63,13.578640937805176
64,13.941638946533203
65,15.265535354614258
66,11.74956226348877
67,15.21026611328125
68,13.195178031921387
69,16.178823471069336
70,17.74764060974121
71,12.312702178955078
72,17.594547271728516
73,11.269648551940918
74,17.407846450805664
75,11.224574089050293
76,12.176423072814941
77,11.460274696350098
78,14.269113540649414
79,14.487322807312012
80,13.973265647888184
81,14.38048267364502
82,12.752707481384277
83,16.509830474853516
84,14.437870979309082
85,14.757018089294434
86,16.967098236083984
87,11.975695610046387
88,11.425823211669922
89,12.991159439086914
90,11.38701057434082
91,14.011765480041504
92,11.833314895629883
93,18.145658493041992
94,12.017953872680664
95,12.63011646270752
96,12.9033203125
97,16.36302947998047
98,12.597125053405762
99,11.939871788024902
