,epoch,n_steps,avg_reward,avg_score,n_episodes,avg_q_value
0,1,5000,-4.2727272727272725,0.7272727272727273,33,0.016437276149354876
1,2,10000,-3.25,1.75,8,-0.0016387283489108086
2,3,15000,-3.625,1.375,8,-0.0016387283489108086
3,4,20000,-4.666666666666667,0.3333333333333333,9,-0.018494989266246556
4,5,25000,-3.5555555555555554,1.4444444444444444,9,-0.018494989266246556
5,6,30000,-2.75,2.25,8,-0.03702312914282083
6,7,35000,-3.142857142857143,1.8571428571428572,7,-0.03702312914282083
7,8,40000,-1.6666666666666667,4.666666666666667,9,-0.050093583403527736
8,9,45000,-1.1428571428571428,6.857142857142857,7,-0.050093583403527736
9,10,50000,-4.363636363636363,0.6363636363636364,33,-0.06775391115695238
10,11,55000,-4.485714285714286,0.5142857142857142,35,-0.06775391115695238
11,12,60000,-3.75,1.25,8,-0.08505870943367481
12,13,65000,-4.0,1.0,9,-0.08505870943367481
13,14,70000,-2.5555555555555554,2.4444444444444446,9,-0.09980179525464773
14,15,75000,-3.125,1.875,8,-0.09980179525464773
15,16,80000,-4.457142857142857,0.5428571428571428,35,-0.11643327194452285
16,17,85000,-4.242424242424242,0.7575757575757576,33,-0.11643327194452285
17,18,90000,-4.21875,0.78125,32,-0.12994121379554271
18,19,95000,-4.28125,0.71875,32,-0.12994121379554271
19,20,100000,-4.222222222222222,0.7777777777777778,9,-0.14528442071974276
20,21,105000,-3.0,2.0,7,-0.14528442071974276
21,22,110000,-3.6,1.4,10,-0.15756215678155422
22,23,115000,-3.4444444444444446,1.5555555555555556,9,-0.15756215678155422
23,24,120000,-2.7142857142857144,2.2857142857142856,7,-0.17279893187880516
24,25,125000,-3.6666666666666665,1.3333333333333333,9,-0.17279893187880516
25,26,130000,-4.125,0.875,8,-0.1796441123366356
26,27,135000,-4.111111111111111,0.8888888888888888,9,-0.1796441123366356
27,28,140000,-3.888888888888889,1.1111111111111112,9,-0.18935994212329388
28,29,145000,-4.111111111111111,0.8888888888888888,9,-0.18935994212329388
29,30,150000,-4.0,1.0,9,-0.20412077274918555
30,31,155000,-3.5714285714285716,1.4285714285714286,7,-0.20412077274918555
31,32,160000,-4.5,0.5,8,-0.21000072238445283
32,33,165000,-3.9,1.1,10,-0.21000072238445283
33,34,170000,-4.444444444444445,0.5555555555555556,9,-0.21978275969922542
34,35,175000,-4.5,0.5,8,-0.21978275969922542
35,36,180000,-3.875,1.125,8,-0.22842066473960876
36,37,185000,-3.2857142857142856,1.7142857142857142,7,-0.22842066473960876
